year,month,day,title
2018,12,30,911 outage prompted Washington's first statewide use of cellphone alert system
2018,12,27,Look Ahead: The hottest Seattle events for January 2019 View
2018,12,26,"'Hi, my name is ___, and I'm addicted to tech' View"
2018,12,26,Community calendar: Holiday light displays plus ways to ring in the new year
2018,12,24,"Pat Shanahan, Trump's pick for acting defense secretary, honed leadership style at UW and Boeing"
2018,12,21,"Behind the low unemployment rate, too many Americans are stuck in rotten jobs"
2018,12,19,"Community calendar: ‘Lunar Focus’ exhibit, Model Train Festival, holiday activities and more"
2018,12,17,Jesuits sent abusive priests to retire on Gonzaga's campus
2018,12,15,Rant & Rave: Thanks to public libraries
2018,12,14,A job with a very cool perk: a unique view of Seattle
2018,12,14,The year in books: What Seattle Times arts writers read and loved in 2018 View
2018,12,14,"How we saw it then: An era of capture, when a generation of orcas was taken from Puget Sound"
2018,12,11,"Traffic in Seattle, 2017: Fewer cars, bicyclists and walkers; more transit riders and carpoolers"
2018,12,5,"Community calendar: Great Figgy Pudding Caroling Competition, Winter Solstice Night Market, Jingle Bell Run"
2018,12,3,"Christmas lights start and end their lives in China, and face rising costs"
2018,11,30,Everything you need to know about the hottest tickets in town: Seattle events for December 2018 View
2018,11,28,"Community calendar: Ballard Holiday Fest, Museum First Thursday and more"
2018,11,21,"Community calendar: Seattle Center Winterfest, tree lightings, holiday shopping and more"
2018,11,16,Northern Idaho human remains could be 200 years old
2018,11,14,Seattle high-school teacher shares 'the wonder of books' with students on a different kind of field trip View
2018,11,8,Few could conceive of a more glorious hotel than Seattle's grand Olympic
2018,11,8,"Washington state Obamacare signups increase; 190,000 so far this month"
2018,11,7,"Community calendar: Veterans Day events, International Auto Show, bazaars/sales and more"
2018,11,6,How Election Day unfolded: Democrats take control of U.S. House; Kim Schrier holds wide lead
2018,11,4,Rant & Rave: Bravo for the Seattle Public Library's programs
2018,10,31,"Community calendar: Diwali events, Dia de los Muertos celebrations and more"
2018,10,30,Susan Orlean writes a love letter to libraries wrapped in a true-crime story with 'The Library Book'
2018,10,29,'It has a story to tell': How a descendant of Napoleon's willow tree took root on a Seattle hillside
2018,10,26,Everything you need to know about the hottest tickets in town: Seattle events for November 2018 View
2018,10,24,"Community calendar: Halloween carnivals and haunts, First Thursday"
2018,10,23,Kim Schrier and allies seek to highlight abortion stance of Dino Rossi in 8th District race
2018,10,22,"Does public surveillance creep you out, or make you feel safer? Seattle wants your opinion on what it's been doing"
2018,10,22,"These are Seattle's fastest growing neighborhoods. Next year, they'll lose their only community center."
2018,10,19,This week’s passages
2018,10,19,Would you ditch your car if a transit hub was at your kid's school? That's one solution from UW 'ideathon'
2018,10,18,Travel through time with classic fiction
2018,10,17,"Community calendar: Seattle Home Show 2, Diwali: Lights of India, bazaars and more"
2018,10,15,"Transfers at Husky Stadium station were 'horrendous,' for some users, so U District community devised a plan for its future stop"
2018,10,13,2018 Washington State Book Award winners include a former Seattle Times reporter
2018,10,10,"Community calendar: Bainbridge Pumpkin Walk, Turkfest, Point Defiance Zoo Boo, Antiquarian Book Fair and more"
2018,10,5,Attacks on staff surge at Western State Hospital: 'How bad does it have to get?'
2018,10,3,"Community calendar: Kelsey Creek Farm Fair, Oktoberfest Northwest, Robothon and more"
2018,10,2,Beer and books abound at Booktoberfest and Lit Crawl Seattle
2018,9,27,"As Seattle's 'kindie-rock' scene booms, musicians trade beer cans for juice boxes View"
2018,9,27,Nicole Chung explores her adoption and her roots in 'All You Can Ever Know'
2018,9,27,"Community calendar: Haunted houses, Great Pumpkin Beer Fest, Maple Festival and more"
2018,9,21,"New unit will investigate harassment, discrimination allegations against Seattle city workers"
2018,9,20,Fall reading 2018: 9 books to curl up with this cozy time of year
2018,9,19,Where to see author readings in Seattle
2018,9,19,10 author appearances around Seattle to put on your literary calendar for fall
2018,9,19,"Community calendar: Pet adoptions, Fall Harvest Celebration, Seattle Children’s Festival and more"
2018,9,12,5 architectural approaches that are shaping the way we live View
2018,9,12,"Community calendar: Salmon Homecoming Celebration, Zombie Fest, Fishermen’s Fall Festival and more"
2018,9,5,"Community calendar: Live Aloha Hawaiian Cultural Festival, Camp Long Mountain Fest and last chance for outdoor pools"
2018,9,2,Rant & Rave: A lovely garden in South Seattle
2018,8,31,Patrick deWitt's witty 'French Exit' is a delicious delight
2018,8,31,"Seattle's Madison Park neighborhood is getting a bookstore again, plus upcoming library sales"
2018,8,29,"Community calendar: First Thursday, Evergreen State Fair, Happy Tails Wine Walk, and more"
2018,8,28,Bill Gates directs education funding to poor US schools
2018,8,27,Amazon has a second Go at cashierless convenience store in downtown Seattle
2018,8,24,Look Ahead: The hottest Seattle events for September 2018 View
2018,8,23,A sweet slice of small-town Western Washington in Tenino View
2018,8,23,"Community calendar: State fairs, Garlic Fest, Bremerton Blackberry Festival and more"
