year,month,day,title
2018,12,31,"Leaving Pentagon, Mattis urges workers to 'keep faith' in US"
2018,12,30,Our military isn't built for partisan ﬁghts
2018,12,30,Timetable of Trump's pullout from Syria being questioned
2018,12,28,Why one correspondent gave all — including her life — to report the horrors of war
2018,12,25,Is Netflix killing the movie theater? Not so fast.
2018,12,24,It's no Christmas miracle: Giannis Antetokounmpo has arrived
2018,12,24,Idaho lab protects US infrastructure from cyber attacks
2018,12,23,"'Aquaman' outswims 'Poppins,' 'Bumblebee' with $67.4M debut"
2018,12,23,Dirty tricks surround bidding for Pentagon cloud-computing contract
2018,12,21,Felicity Jones strives to do justice to Ginsburg in film
2018,12,20,The biggest hits and misses in Hollywood's 2018
2018,12,20,"In a record year, the movie theater strikes back"
2018,12,16,'Spider-Verse' swings to the top; 'Mortal Engines' tanks
2018,12,14,"1947 best-picture Oscar sells for nearly $500,000 at auction"
2018,12,14,"Favorite nonfiction from 2018, from Princess Margaret to a Silicon Valley scammer View"
2018,12,13,'Mortal Engines' rolls out a big post-apocalyptic mess Watch
2018,12,11,Study finds female-led films outperform male ones
2018,12,9,"'Ralph' tops box office again, 'Aquaman' is a hit in China"
2018,11,29,"Gloria Katz, 'American Graffiti' screenwriter, dies at 76"
2018,11,27,Ex-NBA star Dikembe Mutombo moved to tears in Jerusalem
2018,11,23,Chicago defends location of Obama library in federal court
2018,11,22,Wing Luke Museum highlights Asian Pacific Americans in sci-fi in 'Worlds Beyond Here'
2018,11,20,"'Ralph Breaks the Internet': Sequel creates a web of clever, colorful, cloying moments Watch"
2018,11,14,Bollywood meets Hollywood as Indian stars wed in Italy
2018,11,13,Trump picks retired general for ambassador to Saudi Arabia
2018,11,12,"Celebrities offer thanks, condolences in death of Stan Lee"
2018,11,9,From suicide blast in Afghanistan to helping run Boeing Commercial Airplanes Watch
2018,11,8,Disney results jump on strong movie slate
2018,11,8,"'Overlord' overdoes it with Nazis, zombies, cliches, violence"
2018,11,7,Macron praises WWI general who later collaborated with Nazis
2018,11,5,"Bruce Springsteen, Seth Meyers headline veterans fundraiser View"
2018,10,26,Classic movie streaming service FilmStruck to shut down
2018,10,26,Trump's unprecedented deficits put us into uncharted territory
2018,10,22,Michigan-Michigan State spat spills into new week
2018,10,19,Silenced forever: Saudi Arabia admits Khashoggi is dead
2018,10,19,Silenced forever: Saudi Arabia admits Khashoggi is dead
2018,10,11,"Risk of streaming fatigue as Walmart, AT&T, Disney join fray"
2018,10,10,Nature and romance permeate in Italy’s lakes district
2018,10,7,TV Picks for Sunday: Binge with ‘Doctor Who’ premiere and marathon
2018,9,28,"On ecstasy, octopuses reached out for a hug"
2018,9,26,"Now streaming: 'Solo: A Star Wars Story,' 'King Lear,' 'A Wrinkle in Time'"
2018,9,25,Starry Saint Laurent show in Paris sees models walk on water View
2018,9,24,Dior and Gucci theatrically kick off Paris Fashion Week View
2018,9,24,"‘The Property’: A family's getaway cabin defined its dreams, until a tragic Sunday morning View"
2018,9,7,France says Russia satellite spied in 'Star Wars' hostility
2018,9,5,"Community calendar: Live Aloha Hawaiian Cultural Festival, Camp Long Mountain Fest and last chance for outdoor pools"
2018,9,2,"‘Time for This War in Afghanistan to End,’ Says Departing US Commander"
2018,8,31,"New on Video on Demand in September 2018: 'Solo: A Star Wars Story,' 'Jurassic World: Fallen Kingdom'"
2018,8,31,Lego wants to completely remake its toy bricks (without anyone noticing)
2018,8,30,"Marie Severin, versatile Hall of Fame comic-book illustrator, dies at 89"
2018,8,29,"New on Hulu in September 2018: 'The First,' 'I Love You, America,' 'Suburbicon'"
2018,8,27,Kingsley: I wanted to nail Eichmann to gates of Auschwitz
2018,8,25,The Motley Fool: Investor wants a forecast on annual returns
2018,8,22,Actor Adam Driver's claim of Indiana KKK rallies accurate
2018,8,21,Pakistan's new PM proposes dialogue with India
2018,8,21,Kelly Marie Tran breaks silence about online harassment
2018,8,16,Next mission for women with military service: Run for office
2018,8,16,Next mission for women with military service: Run for office
2018,8,9,Pence outlines plan for creation of 'Space Force'
2018,8,7,Disney says its new streaming service won't rival Netflix
2018,8,5,'Mission: Impossible' bests Winnie-the-Pooh at box office
2018,8,1,Star Wars jacket expected to fetch $1.3 million at auction
2018,7,31,"Draft poster for ""The Empire Strikes Back"" sells for $26,400"
2018,7,31,Film inclusion report says rhetoric doesn't equal results
2018,7,30,"Pakistan parties vow to oppose Khan, say vote was 'rigged'"
2018,7,27,Next 'Star Wars' film to use unreleased Fisher footage
2018,7,27,Look Ahead: The hottest Seattle events for August 2018 View
2018,7,24,"Trump tempers Iran rhetoric, says he's ready for new deal"
2018,7,24,Gorbachev's interpreter: Best summit deals are written down
2018,7,23,5 of the biggest takeaways from Comic-Con 2018 View
2018,7,22,"Shinobu Hashimoto, screenwriter of Kurosawa classics, dies at 100"
2018,7,21,"'Wonder Woman,' 'Aquaman' and 'Shazam!"" thrill Comic-Con View"
2018,7,20,Relations with Russia: ‘Seismic shift’
2018,7,19,Disney announces new Star Wars 'Clone Wars' episodes
2018,7,19,Disney streaming could get boost as Comcast drops Fox bid
2018,7,18,"A Comic-Con without Marvel, HBO gives others a chance to pop View"
2018,7,16,Box Office Top 20: 'Hotel Transylvania 3' beats 'Skyscraper'
2018,7,13,I’ve been shaken out of my complacency — you should be too
2018,7,13,"New Army command aims to help counter China, Russia threats"
2018,7,13,Mixed emotions in Balkans over Croatia's World Cup success
2018,7,12,AP sources: Army chooses Austin for new Futures Command HQ
2018,7,12,Underdog status suits Croatia perfectly for World Cup final
2018,7,12,"The Roxy, revitalized: A vintage Bremerton moviehouse comes back to life View"
2018,7,11,'Hotel Transylvania 3: Summer Vacation': Cruising along with a little less zing
2018,7,11,Hollywood composer James Newton Howard unveils world premiere at Seattle Chamber Music Society's Summer Festival
2018,7,10,A watershed moment for the politics of abortion
2018,7,10,Release of 5th 'Indiana Jones' movie pushed to 2021
2018,7,9,Box office top 20: 'Ant-Man and the Wasp' stings with $75.8M
2018,7,2,Box Office Top 20: 'Jurassic World: Fallen Kingdom' is No. 1
2018,7,1,'Jurassic World 2' takes No. 1 again
2018,6,30,How your U.S. lawmaker voted
2018,6,29,To Infinity: Toy Story Land opening at Disney in Florida View
2018,6,29,Serbia reopens National Museum after 15-year renovations
2018,6,28,"New on Amazon in July 2018: 'The Americans,' 'Snowden,' 'How to Talk to Girls at Parties'"
2018,6,28,"Community calendar: Fourth of July, Urban Craft Uprising, and more"
2018,6,27,"Now streaming: 'Star Wars: The Last Jedi,' 'A Very English Scandal,' 'Secret City'"
2018,6,27,"Harrison Ford, Calista Flockhart and son make pizza stop"
2018,6,25,Box office top 20: 'Jurassic World' debuts with $148M
2018,6,25,"Tiffany Haddish, Kumail Nanjiani among film academy invitees"
2018,6,24,'Jurassic World' sequel stomps its way to $150 million debut
2018,6,22,The pitfalls of the mythic ethos
2018,6,21,Mourners remember 2 Kansas deputies slain outside courthouse View
2018,6,19,Herrera happy to change role with contending Nationals
2018,6,18,"On a big night for 'Panther,' Boseman honors real-life hero View"
2018,6,18,Box Office Top 20: 'Incredibes 2' record inches higher
2018,6,17,'Incredibles 2' crushes animation record with $180 million
2018,6,13,Comcast-Disney fight highlights shifting media landscape
2018,6,13,How Fox's businesses would match up with Disney and Comcast
2018,6,13,Comcast challenges Disney with $65B bid for Fox
2018,6,13,Grozny is a World Cup home away from home for Egypt squad
2018,6,12,"After AT&T's win, here comes the expected Comcast-Fox bid"
2018,6,12,'Avengers: Infinity War' crosses $2 billion in box office
2018,6,11,Box office top 20: 'Ocean's 8' dethrones 'Solo'
2018,6,10,"Summits are tricky: Kennedy, Nixon and Reagan learned the hard way"
2018,6,10,'Ocean's 8' opens with franchise-best $41.5M to top weekend
2018,6,10,Disneyland Paris enters Marvel universe with Avengers theme View
2018,6,8,Massive movie memorabilia auction earns more than $6M
2018,6,8,Trump crosses a fateful line on trade and everything's at risk
2018,6,7,The Rifleman says he witnessed killing of nightclub owner
2018,6,7,Seattle Art Museum’s 'Double Exposure' and the negative/positive legacy of photographer Edward S. Curtis
2018,6,6,The Rifleman takes stand against ex-New England Mafia boss
2018,6,4,Box Office Top 20: 'Solo' drops to $29.4 million in week 2
2018,6,4,"On migrants & Moscow, Italy's new foreign policy makes waves"
2018,6,3,'Solo: A Star Wars Story' falls 65 percent in second weekend
2018,6,1,UC Berkeley peregrine falcon chicks named after elements
2018,5,31,"Stocks turn higher amid strong US data, trade concerns"
2018,5,31,"New on Netflix in June 2018: 'Star Wars: The Last Jedi,' 'Thor: Ragnarok' and new seasons of 'Luke Cage' and 'Marcella'"
2018,5,31,Veterans' memorial planned near Wyoming Capitol
